"ContactID";"CreditCardID";"ModifiedDate"
2;17038;01/09/2003 00:00:00
3;15369;01/09/2001 00:00:00
4;8010;01/09/2001 00:00:00
5;5316;01/09/2003 00:00:00
6;6653;01/07/2001 00:00:00
7;9010;01/09/2002 00:00:00
8;8937;01/07/2001 00:00:00
9;16124;01/12/2002 00:00:00
10;9478;01/08/2001 00:00:00
11;17600;01/09/2001 00:00:00
12;1970;01/08/2003 00:00:00
13;8274;01/09/2003 00:00:00
14;13045;01/07/2001 00:00:00
15;13601;01/09/2001 00:00:00
17;5958;01/09/2002 00:00:00
18;10709;01/07/2002 00:00:00
19;126;01/09/2003 00:00:00
20;6626;01/07/2003 00:00:00
21;14963;01/08/2002 00:00:00
22;18100;01/09/2001 00:00:00
23;12823;01/05/2003 00:00:00
24;11434;01/08/2003 00:00:00
25;13160;01/08/2001 00:00:00
26;3787;01/12/2001 00:00:00
27;8979;01/08/2001 00:00:00
28;14729;01/08/2001 00:00:00
29;6264;01/08/2001 00:00:00
30;2273;01/09/2003 00:00:00
31;18154;01/08/2002 00:00:00
32;18257;01/09/2003 00:00:00
33;14184;01/08/2001 00:00:00
34;11472;01/08/2003 00:00:00
35;10785;01/08/2003 00:00:00
36;4215;01/09/2001 00:00:00
37;2396;01/08/2003 00:00:00
38;4983;01/07/2002 00:00:00
39;1660;01/08/2001 00:00:00
40;17861;01/08/2001 00:00:00
41;15321;01/08/2001 00:00:00
42;3756;01/08/2003 00:00:00
43;14486;01/09/2001 00:00:00
44;16441;01/08/2003 00:00:00
45;10338;01/09/2003 00:00:00
46;4173;01/09/2002 00:00:00
47;18570;01/09/2003 00:00:00
48;9102;01/09/2002 00:00:00
49;626;01/12/2001 00:00:00
50;5409;01/10/2002 00:00:00
51;2337;01/07/2001 00:00:00
52;5262;01/09/2003 00:00:00
54;6272;01/09/2002 00:00:00
58;11945;01/12/2002 00:00:00
59;14938;01/09/2003 00:00:00
60;6306;01/08/2003 00:00:00
61;181;01/08/2001 00:00:00
62;17315;01/08/2002 00:00:00
64;13667;01/11/2001 00:00:00
65;12491;01/08/2003 00:00:00
66;18295;01/08/2002 00:00:00
69;12189;01/08/2002 00:00:00
70;16173;01/04/2003 00:00:00
71;10057;01/09/2002 00:00:00
73;10187;01/08/2003 00:00:00
74;5528;01/08/2001 00:00:00
75;7083;01/07/2001 00:00:00
76;12492;01/09/2003 00:00:00
77;7657;01/09/2003 00:00:00
78;1977;01/09/2003 00:00:00
80;9647;01/09/2003 00:00:00
81;1684;01/11/2001 00:00:00
82;1163;01/11/2001 00:00:00
83;11087;01/08/2003 00:00:00
87;3513;01/09/2003 00:00:00
88;11282;01/08/2001 00:00:00
91;14489;01/09/2002 00:00:00
92;9772;01/08/2002 00:00:00
93;7777;01/08/2003 00:00:00
94;7293;01/09/2001 00:00:00
95;14814;01/09/2003 00:00:00
96;10832;01/08/2003 00:00:00
97;4322;01/07/2001 00:00:00
99;18017;01/07/2001 00:00:00
100;7527;01/08/2003 00:00:00
101;9458;01/09/2002 00:00:00
102;13917;01/08/2001 00:00:00
103;242;01/07/2001 00:00:00
104;14363;01/08/2001 00:00:00
106;17699;01/09/2003 00:00:00
107;8394;01/09/2002 00:00:00
108;3490;01/09/2002 00:00:00
109;12316;01/08/2003 00:00:00
110;6442;01/09/2002 00:00:00
111;319;01/09/2001 00:00:00
112;6920;01/10/2003 00:00:00
113;12857;01/09/2002 00:00:00
114;15232;01/07/2001 00:00:00
115;4524;01/09/2001 00:00:00
116;1359;01/08/2001 00:00:00
117;4789;01/11/2001 00:00:00
118;1803;01/09/2002 00:00:00
119;972;01/11/2001 00:00:00
121;16467;01/08/2003 00:00:00
122;1906;01/07/2002 00:00:00
123;15842;01/11/2001 00:00:00
124;17164;01/07/2003 00:00:00
125;1308;01/08/2002 00:00:00
126;3392;01/07/2003 00:00:00
127;17368;01/09/2001 00:00:00
128;8522;01/08/2002 00:00:00
129;6340;01/07/2002 00:00:00
130;16065;01/07/2003 00:00:00
131;19204;01/07/2001 00:00:00
132;15195;01/08/2003 00:00:00
133;15487;01/08/2002 00:00:00
134;4052;01/07/2002 00:00:00
135;2741;01/09/2002 00:00:00
136;3318;01/08/2002 00:00:00
137;11110;01/07/2003 00:00:00
138;17281;01/09/2003 00:00:00
139;18868;01/07/2002 00:00:00
140;16021;01/07/2002 00:00:00
142;14612;01/07/2001 00:00:00
144;4727;01/09/2003 00:00:00
145;15924;01/08/2003 00:00:00
146;17540;01/08/2003 00:00:00
147;3235;01/07/2001 00:00:00
148;5758;01/11/2001 00:00:00
149;13536;01/09/2003 00:00:00
150;18717;01/07/2002 00:00:00
151;1566;01/07/2001 00:00:00
153;12715;01/08/2003 00:00:00
154;17277;01/08/2002 00:00:00
155;10270;01/08/2001 00:00:00
156;17923;01/08/2002 00:00:00
157;553;01/08/2002 00:00:00
159;5577;01/08/2001 00:00:00
160;5514;01/11/2002 00:00:00
161;7829;01/09/2001 00:00:00
162;17308;01/07/2003 00:00:00
163;204;01/08/2001 00:00:00
164;2602;01/09/2003 00:00:00
165;6863;01/11/2002 00:00:00
166;15954;01/08/2002 00:00:00
167;10502;01/09/2003 00:00:00
168;11580;01/09/2003 00:00:00
169;5589;01/08/2002 00:00:00
170;3764;01/07/2003 00:00:00
171;13278;01/09/2001 00:00:00
172;13923;01/08/2002 00:00:00
173;2847;01/07/2003 00:00:00
174;2270;01/09/2002 00:00:00
175;2604;01/07/2002 00:00:00
176;5164;01/09/2001 00:00:00
177;18460;01/09/2003 00:00:00
179;4357;01/09/2001 00:00:00
180;5751;01/08/2002 00:00:00
181;4830;01/07/2003 00:00:00
182;7600;01/09/2001 00:00:00
183;16192;01/08/2003 00:00:00
184;6468;01/09/2002 00:00:00
185;9961;01/09/2003 00:00:00
186;13054;01/07/2001 00:00:00
187;17774;01/07/2002 00:00:00
188;16805;01/07/2003 00:00:00
189;778;01/09/2001 00:00:00
190;14842;01/07/2003 00:00:00
191;19154;01/09/2001 00:00:00
193;230;01/09/2003 00:00:00
196;12529;01/09/2003 00:00:00
197;14497;01/07/2002 00:00:00
198;14064;01/09/2001 00:00:00
199;8342;01/07/2003 00:00:00
200;15364;01/08/2003 00:00:00
201;1912;01/07/2002 00:00:00
202;17935;01/09/2001 00:00:00
203;18328;01/09/2003 00:00:00
204;5301;01/07/2001 00:00:00
205;10526;01/08/2002 00:00:00
206;15282;01/09/2002 00:00:00
207;7167;01/08/2001 00:00:00
208;11274;01/08/2003 00:00:00
209;7832;01/08/2003 00:00:00
210;14371;01/08/2002 00:00:00
212;16871;01/11/2001 00:00:00
213;12135;01/12/2001 00:00:00
214;16939;01/07/2003 00:00:00
215;18908;01/07/2003 00:00:00
216;5618;01/07/2001 00:00:00
217;18407;01/09/2001 00:00:00
218;17073;01/12/2001 00:00:00
219;18323;01/08/2001 00:00:00
220;14261;01/09/2003 00:00:00
221;12554;01/08/2002 00:00:00
222;15829;01/09/2002 00:00:00
223;1039;01/07/2003 00:00:00
224;18049;01/08/2001 00:00:00
225;17658;01/09/2001 00:00:00
226;18502;01/10/2001 00:00:00
227;10336;01/07/2002 00:00:00
228;3827;01/08/2002 00:00:00
231;17669;01/09/2001 00:00:00
232;7092;01/09/2001 00:00:00
234;10553;01/09/2003 00:00:00
235;11781;01/08/2001 00:00:00
236;3070;01/07/2002 00:00:00
237;7392;01/09/2001 00:00:00
238;15443;01/08/2002 00:00:00
239;923;01/07/2002 00:00:00
240;11046;01/07/2003 00:00:00
241;4931;01/07/2003 00:00:00
242;5824;01/09/2003 00:00:00
243;11080;01/09/2002 00:00:00
244;11201;01/06/2002 00:00:00
245;11745;01/08/2001 00:00:00
246;10064;01/08/2002 00:00:00
247;9628;01/09/2003 00:00:00
248;17544;01/09/2002 00:00:00
249;18496;01/09/2001 00:00:00
250;15090;01/08/2001 00:00:00
251;17902;01/07/2002 00:00:00
252;6452;01/08/2001 00:00:00
253;14546;01/08/2003 00:00:00
254;7597;01/09/2002 00:00:00
255;3047;01/09/2001 00:00:00
256;10783;01/09/2002 00:00:00
257;12214;01/09/2001 00:00:00
258;17062;01/09/2001 00:00:00
259;18231;01/08/2002 00:00:00
260;11622;01/08/2003 00:00:00
261;6065;01/09/2001 00:00:00
262;18875;01/09/2001 00:00:00
263;13468;01/08/2001 00:00:00
264;15882;01/08/2001 00:00:00
265;12399;01/07/2001 00:00:00
266;16523;01/11/2002 00:00:00
267;16023;01/09/2003 00:00:00
268;19078;01/09/2001 00:00:00
269;12698;01/09/2001 00:00:00
270;15616;01/08/2003 00:00:00
271;6126;01/08/2001 00:00:00
272;12648;01/08/2003 00:00:00
273;5346;01/12/2002 00:00:00
274;12015;01/08/2003 00:00:00
275;9043;01/11/2001 00:00:00
276;8015;01/03/2004 00:00:00
277;6235;01/12/2002 00:00:00
278;161;01/08/2001 00:00:00
279;6940;01/08/2002 00:00:00
280;7604;01/09/2001 00:00:00
281;1346;01/07/2001 00:00:00
282;8213;01/09/2003 00:00:00
283;11874;01/09/2003 00:00:00
284;19143;01/07/2003 00:00:00
285;18174;01/09/2003 00:00:00
286;10146;01/09/2002 00:00:00
287;18813;01/09/2001 00:00:00
289;16967;01/09/2003 00:00:00
290;11011;01/08/2001 00:00:00
291;3465;01/09/2002 00:00:00
292;12;01/07/2002 00:00:00
293;8579;01/07/2003 00:00:00
294;7146;01/09/2001 00:00:00
295;15538;01/07/2001 00:00:00
296;11555;01/09/2001 00:00:00
297;6675;01/08/2001 00:00:00
298;13480;01/09/2002 00:00:00
299;5099;01/07/2003 00:00:00
300;5995;01/11/2003 00:00:00
301;15319;01/08/2002 00:00:00
302;4511;01/06/2004 00:00:00
303;6955;01/09/2001 00:00:00
304;2759;01/11/2001 00:00:00
305;13246;01/08/2001 00:00:00
306;18591;01/09/2002 00:00:00
307;76;01/07/2001 00:00:00
308;17748;01/09/2003 00:00:00
309;5439;01/07/2001 00:00:00
310;14599;01/09/2003 00:00:00
311;3498;01/09/2002 00:00:00
312;11717;01/08/2001 00:00:00
313;15076;01/08/2002 00:00:00
315;10919;01/02/2003 00:00:00
316;8965;01/10/2003 00:00:00
317;15586;01/01/2002 00:00:00
318;17132;01/09/2001 00:00:00
319;782;01/09/2002 00:00:00
320;11441;01/07/2002 00:00:00
321;14562;01/07/2002 00:00:00
322;19181;01/08/2001 00:00:00
323;15798;01/08/2001 00:00:00
324;10915;01/09/2002 00:00:00
325;706;01/07/2003 00:00:00
326;4662;01/08/2003 00:00:00
327;5710;01/07/2002 00:00:00
328;9386;01/08/2003 00:00:00
329;1699;01/08/2002 00:00:00
330;16754;01/09/2002 00:00:00
331;8850;01/07/2002 00:00:00
332;5868;01/07/2002 00:00:00
334;14803;01/08/2002 00:00:00
335;6191;01/11/2001 00:00:00
336;451;01/08/2002 00:00:00
337;11815;01/08/2001 00:00:00
338;5609;01/12/2001 00:00:00
340;18316;01/08/2001 00:00:00
341;15711;01/08/2003 00:00:00
342;4835;01/08/2001 00:00:00
343;16976;01/08/2002 00:00:00
344;10100;01/09/2002 00:00:00
345;12102;01/08/2001 00:00:00
346;8672;01/07/2002 00:00:00
347;18930;01/09/2003 00:00:00
348;10662;01/08/2002 00:00:00
349;7667;01/08/2002 00:00:00
350;12582;01/09/2003 00:00:00
351;2780;01/08/2002 00:00:00
352;17978;01/09/2003 00:00:00
353;3367;01/10/2003 00:00:00
354;8552;01/09/2001 00:00:00
355;15432;01/09/2003 00:00:00
356;8217;01/07/2002 00:00:00
357;5347;01/09/2003 00:00:00
360;13366;01/08/2001 00:00:00
361;15682;01/12/2001 00:00:00
362;14140;01/09/2002 00:00:00
363;7845;01/09/2001 00:00:00
364;18153;01/07/2001 00:00:00
365;6291;01/09/2003 00:00:00
366;12279;01/08/2001 00:00:00
367;2274;01/08/2003 00:00:00
368;17324;01/09/2002 00:00:00
369;10004;01/08/2002 00:00:00
370;13694;01/08/2003 00:00:00
371;14559;01/08/2001 00:00:00
372;6881;01/08/2002 00:00:00
373;8399;01/07/2003 00:00:00
374;9314;01/09/2003 00:00:00
375;18097;01/09/2002 00:00:00
376;6535;01/09/2003 00:00:00
377;14030;01/07/2001 00:00:00
378;16281;01/07/2001 00:00:00
379;13699;01/10/2002 00:00:00
380;11886;01/07/2001 00:00:00
381;6183;01/08/2002 00:00:00
382;12371;01/07/2003 00:00:00
383;16905;01/08/2001 00:00:00
385;7719;01/06/2004 00:00:00
386;18495;01/09/2002 00:00:00
387;4432;01/09/2002 00:00:00
388;18418;01/09/2001 00:00:00
389;6083;01/08/2002 00:00:00
390;17621;01/08/2002 00:00:00
391;11888;01/07/2003 00:00:00
392;12030;01/09/2002 00:00:00
393;14790;01/09/2003 00:00:00
394;8482;01/09/2003 00:00:00
395;14234;01/09/2003 00:00:00
396;11056;01/09/2001 00:00:00
397;13939;01/09/2003 00:00:00
398;1417;01/07/2001 00:00:00
399;12299;01/08/2003 00:00:00
400;10234;01/08/2001 00:00:00
401;4443;01/09/2002 00:00:00
402;18493;01/08/2003 00:00:00
403;1402;01/07/2001 00:00:00
405;7001;01/07/2003 00:00:00
406;5279;01/08/2002 00:00:00
408;8479;01/12/2002 00:00:00
409;12177;01/08/2001 00:00:00
410;7089;01/09/2003 00:00:00
411;8043;01/08/2001 00:00:00
412;9617;01/09/2002 00:00:00
413;18675;01/08/2002 00:00:00
414;6646;01/01/2002 00:00:00
415;5651;01/03/2002 00:00:00
