"CurrencyRateID";"CurrencyRateDate";"FromCurrencyCode";"ToCurrencyCode";"AverageRate";"EndOfDayRate";"ModifiedDate"
1;01/07/2001 00:00:00;"USD";"ARS";1,0;1,0;01/07/2001 00:00:00
2;01/07/2001 00:00:00;"USD";"AUD";1,549;1,55;01/07/2001 00:00:00
3;01/07/2001 00:00:00;"USD";"BRL";1,938;1,942;01/07/2001 00:00:00
4;01/07/2001 00:00:00;"USD";"CAD";1,464;1,468;01/07/2001 00:00:00
5;01/07/2001 00:00:00;"USD";"CNY";8,278;8,278;01/07/2001 00:00:00
6;01/07/2001 00:00:00;"USD";"DEM";1,897;1,898;01/07/2001 00:00:00
7;01/07/2001 00:00:00;"USD";"EUR";0,97;0,97;01/07/2001 00:00:00
8;01/07/2001 00:00:00;"USD";"FRF";6,361;6,361;01/07/2001 00:00:00
9;01/07/2001 00:00:00;"USD";"GBP";0,618;0,618;01/07/2001 00:00:00
10;01/07/2001 00:00:00;"USD";"JPY";104,91;104,958;01/07/2001 00:00:00
11;01/07/2001 00:00:00;"USD";"MXN";9,374;9,384;01/07/2001 00:00:00
12;01/07/2001 00:00:00;"USD";"SAR";3,751;3,758;01/07/2001 00:00:00
13;01/07/2001 00:00:00;"USD";"VEB";634,51;634,6;01/07/2001 00:00:00
14;02/07/2001 00:00:00;"USD";"ARS";1,0;0,999;02/07/2001 00:00:00
15;02/07/2001 00:00:00;"USD";"AUD";1,556;1,556;02/07/2001 00:00:00
16;02/07/2001 00:00:00;"USD";"BRL";1,934;1,933;02/07/2001 00:00:00
17;02/07/2001 00:00:00;"USD";"CAD";1,466;1,464;02/07/2001 00:00:00
18;02/07/2001 00:00:00;"USD";"CNY";8,278;8,277;02/07/2001 00:00:00
19;02/07/2001 00:00:00;"USD";"DEM";1,892;1,892;02/07/2001 00:00:00
20;02/07/2001 00:00:00;"USD";"EUR";0,968;0,967;02/07/2001 00:00:00
21;02/07/2001 00:00:00;"USD";"FRF";6,347;6,347;02/07/2001 00:00:00
22;02/07/2001 00:00:00;"USD";"GBP";0,617;0,616;02/07/2001 00:00:00
23;02/07/2001 00:00:00;"USD";"JPY";105,7;105,674;02/07/2001 00:00:00
24;02/07/2001 00:00:00;"USD";"MXN";9,395;9,392;02/07/2001 00:00:00
25;02/07/2001 00:00:00;"USD";"SAR";3,751;3,751;02/07/2001 00:00:00
26;02/07/2001 00:00:00;"USD";"VEB";634,25;634,24;02/07/2001 00:00:00
27;03/07/2001 00:00:00;"USD";"ARS";1,0;1,0;03/07/2001 00:00:00
28;03/07/2001 00:00:00;"USD";"AUD";1,559;1,56;03/07/2001 00:00:00
29;03/07/2001 00:00:00;"USD";"BRL";1,936;1,944;03/07/2001 00:00:00
30;03/07/2001 00:00:00;"USD";"CAD";1,467;1,473;03/07/2001 00:00:00
31;03/07/2001 00:00:00;"USD";"CNY";8,278;8,279;03/07/2001 00:00:00
32;03/07/2001 00:00:00;"USD";"DEM";1,88;1,88;03/07/2001 00:00:00
33;03/07/2001 00:00:00;"USD";"EUR";0,961;0,962;03/07/2001 00:00:00
34;03/07/2001 00:00:00;"USD";"FRF";6,304;6,304;03/07/2001 00:00:00
35;03/07/2001 00:00:00;"USD";"GBP";0,616;0,616;03/07/2001 00:00:00
36;03/07/2001 00:00:00;"USD";"JPY";105,53;105,604;03/07/2001 00:00:00
37;03/07/2001 00:00:00;"USD";"MXN";9,355;9,355;03/07/2001 00:00:00
38;03/07/2001 00:00:00;"USD";"SAR";3,751;3,757;03/07/2001 00:00:00
39;03/07/2001 00:00:00;"USD";"VEB";634,75;634,8;03/07/2001 00:00:00
40;04/07/2001 00:00:00;"USD";"ARS";1,0;1,0;04/07/2001 00:00:00
41;04/07/2001 00:00:00;"USD";"AUD";1,565;1,563;04/07/2001 00:00:00
42;04/07/2001 00:00:00;"USD";"BRL";1,93;1,925;04/07/2001 00:00:00
43;04/07/2001 00:00:00;"USD";"CAD";1,467;1,461;04/07/2001 00:00:00
44;04/07/2001 00:00:00;"USD";"CNY";8,278;8,278;04/07/2001 00:00:00
45;04/07/2001 00:00:00;"USD";"DEM";1,881;1,88;04/07/2001 00:00:00
46;04/07/2001 00:00:00;"USD";"EUR";0,962;0,962;04/07/2001 00:00:00
47;04/07/2001 00:00:00;"USD";"FRF";6,309;6,308;04/07/2001 00:00:00
48;04/07/2001 00:00:00;"USD";"GBP";0,616;0,616;04/07/2001 00:00:00
49;04/07/2001 00:00:00;"USD";"JPY";105,77;105,682;04/07/2001 00:00:00
50;04/07/2001 00:00:00;"USD";"MXN";9,346;9,337;04/07/2001 00:00:00
51;04/07/2001 00:00:00;"USD";"SAR";3,749;3,742;04/07/2001 00:00:00
52;04/07/2001 00:00:00;"USD";"VEB";635,75;635,66;04/07/2001 00:00:00
53;05/07/2001 00:00:00;"USD";"ARS";1,0;1,0;05/07/2001 00:00:00
54;05/07/2001 00:00:00;"USD";"AUD";1,567;1,567;05/07/2001 00:00:00
55;05/07/2001 00:00:00;"USD";"BRL";1,932;1,937;05/07/2001 00:00:00
56;05/07/2001 00:00:00;"USD";"CAD";1,464;1,467;05/07/2001 00:00:00
57;05/07/2001 00:00:00;"USD";"CNY";8,278;8,279;05/07/2001 00:00:00
58;05/07/2001 00:00:00;"USD";"DEM";1,898;1,898;05/07/2001 00:00:00
59;05/07/2001 00:00:00;"USD";"EUR";0,97;0,971;05/07/2001 00:00:00
60;05/07/2001 00:00:00;"USD";"FRF";6,365;6,366;05/07/2001 00:00:00
61;05/07/2001 00:00:00;"USD";"GBP";0,619;0,619;05/07/2001 00:00:00
62;05/07/2001 00:00:00;"USD";"JPY";106,11;106,182;05/07/2001 00:00:00
63;05/07/2001 00:00:00;"USD";"MXN";9,335;9,337;05/07/2001 00:00:00
64;05/07/2001 00:00:00;"USD";"SAR";3,751;3,761;05/07/2001 00:00:00
65;05/07/2001 00:00:00;"USD";"VEB";636,25;636,33;05/07/2001 00:00:00
66;06/07/2001 00:00:00;"USD";"ARS";1,0;1,0;06/07/2001 00:00:00
67;06/07/2001 00:00:00;"USD";"AUD";1,564;1,564;06/07/2001 00:00:00
68;06/07/2001 00:00:00;"USD";"BRL";1,933;1,925;06/07/2001 00:00:00
69;06/07/2001 00:00:00;"USD";"CAD";1,464;1,456;06/07/2001 00:00:00
70;06/07/2001 00:00:00;"USD";"CNY";8,278;8,278;06/07/2001 00:00:00
71;06/07/2001 00:00:00;"USD";"DEM";1,901;1,9;06/07/2001 00:00:00
72;06/07/2001 00:00:00;"USD";"EUR";0,972;0,972;06/07/2001 00:00:00
73;06/07/2001 00:00:00;"USD";"FRF";6,375;6,374;06/07/2001 00:00:00
74;06/07/2001 00:00:00;"USD";"GBP";0,618;0,617;06/07/2001 00:00:00
75;06/07/2001 00:00:00;"USD";"JPY";106,42;106,403;06/07/2001 00:00:00
76;06/07/2001 00:00:00;"USD";"MXN";9,335;9,327;06/07/2001 00:00:00
77;06/07/2001 00:00:00;"USD";"SAR";3,751;3,75;06/07/2001 00:00:00
78;06/07/2001 00:00:00;"USD";"VEB";636,25;636,25;06/07/2001 00:00:00
79;07/07/2001 00:00:00;"USD";"ARS";1,0;1,001;07/07/2001 00:00:00
80;07/07/2001 00:00:00;"USD";"AUD";1,565;1,565;07/07/2001 00:00:00
81;07/07/2001 00:00:00;"USD";"BRL";1,933;1,938;07/07/2001 00:00:00
82;07/07/2001 00:00:00;"USD";"CAD";1,462;1,466;07/07/2001 00:00:00
83;07/07/2001 00:00:00;"USD";"CNY";8,278;8,278;07/07/2001 00:00:00
84;07/07/2001 00:00:00;"USD";"DEM";1,899;1,899;07/07/2001 00:00:00
85;07/07/2001 00:00:00;"USD";"EUR";0,971;0,972;07/07/2001 00:00:00
86;07/07/2001 00:00:00;"USD";"FRF";6,368;6,368;07/07/2001 00:00:00
87;07/07/2001 00:00:00;"USD";"GBP";0,618;0,618;07/07/2001 00:00:00
88;07/07/2001 00:00:00;"USD";"JPY";106,38;106,448;07/07/2001 00:00:00
89;07/07/2001 00:00:00;"USD";"MXN";9,335;9,344;07/07/2001 00:00:00
90;07/07/2001 00:00:00;"USD";"SAR";3,751;3,757;07/07/2001 00:00:00
91;07/07/2001 00:00:00;"USD";"VEB";636,25;636,29;07/07/2001 00:00:00
92;08/07/2001 00:00:00;"USD";"ARS";1,0;1,0;08/07/2001 00:00:00
93;08/07/2001 00:00:00;"USD";"AUD";1,568;1,568;08/07/2001 00:00:00
94;08/07/2001 00:00:00;"USD";"BRL";1,933;1,923;08/07/2001 00:00:00
95;08/07/2001 00:00:00;"USD";"CAD";1,462;1,46;08/07/2001 00:00:00
96;08/07/2001 00:00:00;"USD";"CNY";8,278;8,278;08/07/2001 00:00:00
97;08/07/2001 00:00:00;"USD";"DEM";1,897;1,896;08/07/2001 00:00:00
98;08/07/2001 00:00:00;"USD";"EUR";0,97;0,969;08/07/2001 00:00:00
99;08/07/2001 00:00:00;"USD";"FRF";6,361;6,361;08/07/2001 00:00:00
100;08/07/2001 00:00:00;"USD";"GBP";0,617;0,616;08/07/2001 00:00:00
101;08/07/2001 00:00:00;"USD";"JPY";105,74;105,716;08/07/2001 00:00:00
102;08/07/2001 00:00:00;"USD";"MXN";9,325;9,323;08/07/2001 00:00:00
103;08/07/2001 00:00:00;"USD";"SAR";3,751;3,741;08/07/2001 00:00:00
104;08/07/2001 00:00:00;"USD";"VEB";636,4;636,32;08/07/2001 00:00:00
105;09/07/2001 00:00:00;"USD";"ARS";1,0;1,001;09/07/2001 00:00:00
106;09/07/2001 00:00:00;"USD";"AUD";1,573;1,573;09/07/2001 00:00:00
107;09/07/2001 00:00:00;"USD";"BRL";1,933;1,934;09/07/2001 00:00:00
108;09/07/2001 00:00:00;"USD";"CAD";1,466;1,475;09/07/2001 00:00:00
109;09/07/2001 00:00:00;"USD";"CNY";8,278;8,279;09/07/2001 00:00:00
110;09/07/2001 00:00:00;"USD";"DEM";1,897;1,897;09/07/2001 00:00:00
111;09/07/2001 00:00:00;"USD";"EUR";0,97;0,971;09/07/2001 00:00:00
112;09/07/2001 00:00:00;"USD";"FRF";6,361;6,361;09/07/2001 00:00:00
113;09/07/2001 00:00:00;"USD";"GBP";0,616;0,616;09/07/2001 00:00:00
114;09/07/2001 00:00:00;"USD";"JPY";104,47;104,54;09/07/2001 00:00:00
115;09/07/2001 00:00:00;"USD";"MXN";9,34;9,34;09/07/2001 00:00:00
116;09/07/2001 00:00:00;"USD";"SAR";3,751;3,756;09/07/2001 00:00:00
117;09/07/2001 00:00:00;"USD";"VEB";636,75;636,84;09/07/2001 00:00:00
118;10/07/2001 00:00:00;"USD";"ARS";1,0;1,0;10/07/2001 00:00:00
119;10/07/2001 00:00:00;"USD";"AUD";1,581;1,581;10/07/2001 00:00:00
120;10/07/2001 00:00:00;"USD";"BRL";1,929;1,92;10/07/2001 00:00:00
121;10/07/2001 00:00:00;"USD";"CAD";1,468;1,459;10/07/2001 00:00:00
122;10/07/2001 00:00:00;"USD";"CNY";8,278;8,278;10/07/2001 00:00:00
123;10/07/2001 00:00:00;"USD";"DEM";1,912;1,911;10/07/2001 00:00:00
124;10/07/2001 00:00:00;"USD";"EUR";0,977;0,977;10/07/2001 00:00:00
125;10/07/2001 00:00:00;"USD";"FRF";6,412;6,411;10/07/2001 00:00:00
126;10/07/2001 00:00:00;"USD";"GBP";0,619;0,619;10/07/2001 00:00:00
127;10/07/2001 00:00:00;"USD";"JPY";104,56;104,548;10/07/2001 00:00:00
128;10/07/2001 00:00:00;"USD";"MXN";9,307;9,299;10/07/2001 00:00:00
129;10/07/2001 00:00:00;"USD";"SAR";3,751;3,75;10/07/2001 00:00:00
130;10/07/2001 00:00:00;"USD";"VEB";637,25;637,17;10/07/2001 00:00:00
131;11/07/2001 00:00:00;"USD";"ARS";1,0;1,0;11/07/2001 00:00:00
132;11/07/2001 00:00:00;"USD";"AUD";1,577;1,577;11/07/2001 00:00:00
133;11/07/2001 00:00:00;"USD";"BRL";1,93;1,931;11/07/2001 00:00:00
134;11/07/2001 00:00:00;"USD";"CAD";1,468;1,474;11/07/2001 00:00:00
135;11/07/2001 00:00:00;"USD";"CNY";8,237;8,238;11/07/2001 00:00:00
136;11/07/2001 00:00:00;"USD";"DEM";1,919;1,919;11/07/2001 00:00:00
137;11/07/2001 00:00:00;"USD";"EUR";0,981;0,981;11/07/2001 00:00:00
138;11/07/2001 00:00:00;"USD";"FRF";6,437;6,437;11/07/2001 00:00:00
139;11/07/2001 00:00:00;"USD";"GBP";0,62;0,621;11/07/2001 00:00:00
140;11/07/2001 00:00:00;"USD";"JPY";104,41;104,459;11/07/2001 00:00:00
141;11/07/2001 00:00:00;"USD";"MXN";9,31;9,311;11/07/2001 00:00:00
142;11/07/2001 00:00:00;"USD";"SAR";3,751;3,76;11/07/2001 00:00:00
143;11/07/2001 00:00:00;"USD";"VEB";637,5;637,57;11/07/2001 00:00:00
144;12/07/2001 00:00:00;"USD";"ARS";1,0;0,999;12/07/2001 00:00:00
145;12/07/2001 00:00:00;"USD";"AUD";1,57;1,569;12/07/2001 00:00:00
146;12/07/2001 00:00:00;"USD";"BRL";1,927;1,922;12/07/2001 00:00:00
147;12/07/2001 00:00:00;"USD";"CAD";1,467;1,466;12/07/2001 00:00:00
148;12/07/2001 00:00:00;"USD";"CNY";8,237;8,237;12/07/2001 00:00:00
149;12/07/2001 00:00:00;"USD";"DEM";1,929;1,929;12/07/2001 00:00:00
150;12/07/2001 00:00:00;"USD";"EUR";0,986;0,986;12/07/2001 00:00:00
151;12/07/2001 00:00:00;"USD";"FRF";6,47;6,47;12/07/2001 00:00:00
152;12/07/2001 00:00:00;"USD";"GBP";0,621;0,62;12/07/2001 00:00:00
153;12/07/2001 00:00:00;"USD";"JPY";103,99;103,909;12/07/2001 00:00:00
154;12/07/2001 00:00:00;"USD";"MXN";9,36;9,352;12/07/2001 00:00:00
155;12/07/2001 00:00:00;"USD";"SAR";3,751;3,749;12/07/2001 00:00:00
156;12/07/2001 00:00:00;"USD";"VEB";637,75;637,75;12/07/2001 00:00:00
157;13/07/2001 00:00:00;"USD";"ARS";1,0;1,0;13/07/2001 00:00:00
158;13/07/2001 00:00:00;"USD";"AUD";1,569;1,569;13/07/2001 00:00:00
159;13/07/2001 00:00:00;"USD";"BRL";1,924;1,927;13/07/2001 00:00:00
160;13/07/2001 00:00:00;"USD";"CAD";1,468;1,471;13/07/2001 00:00:00
161;13/07/2001 00:00:00;"USD";"CNY";8,237;8,237;13/07/2001 00:00:00
162;13/07/2001 00:00:00;"USD";"DEM";1,923;1,924;13/07/2001 00:00:00
163;13/07/2001 00:00:00;"USD";"EUR";0,983;0,983;13/07/2001 00:00:00
164;13/07/2001 00:00:00;"USD";"FRF";6,45;6,451;13/07/2001 00:00:00
165;13/07/2001 00:00:00;"USD";"GBP";0,623;0,623;13/07/2001 00:00:00
166;13/07/2001 00:00:00;"USD";"JPY";101,85;101,923;13/07/2001 00:00:00
167;13/07/2001 00:00:00;"USD";"MXN";9,36;9,36;13/07/2001 00:00:00
168;13/07/2001 00:00:00;"USD";"SAR";3,751;3,752;13/07/2001 00:00:00
169;13/07/2001 00:00:00;"USD";"VEB";638,5;638,58;13/07/2001 00:00:00
170;14/07/2001 00:00:00;"USD";"ARS";1,0;0,999;14/07/2001 00:00:00
171;14/07/2001 00:00:00;"USD";"AUD";1,577;1,577;14/07/2001 00:00:00
172;14/07/2001 00:00:00;"USD";"BRL";1,924;1,918;14/07/2001 00:00:00
173;14/07/2001 00:00:00;"USD";"CAD";1,468;1,464;14/07/2001 00:00:00
174;14/07/2001 00:00:00;"USD";"CNY";8,237;8,237;14/07/2001 00:00:00
175;14/07/2001 00:00:00;"USD";"DEM";1,927;1,926;14/07/2001 00:00:00
176;14/07/2001 00:00:00;"USD";"EUR";0,985;0,984;14/07/2001 00:00:00
177;14/07/2001 00:00:00;"USD";"FRF";6,461;6,461;14/07/2001 00:00:00
178;14/07/2001 00:00:00;"USD";"GBP";0,623;0,623;14/07/2001 00:00:00
179;14/07/2001 00:00:00;"USD";"JPY";102,55;102,493;14/07/2001 00:00:00
180;14/07/2001 00:00:00;"USD";"MXN";9,36;9,358;14/07/2001 00:00:00
181;14/07/2001 00:00:00;"USD";"SAR";3,751;3,745;14/07/2001 00:00:00
182;14/07/2001 00:00:00;"USD";"VEB";638,5;638,42;14/07/2001 00:00:00
183;15/07/2001 00:00:00;"USD";"ARS";1,0;1,001;15/07/2001 00:00:00
184;15/07/2001 00:00:00;"USD";"AUD";1,571;1,571;15/07/2001 00:00:00
185;15/07/2001 00:00:00;"USD";"BRL";1,924;1,925;15/07/2001 00:00:00
186;15/07/2001 00:00:00;"USD";"CAD";1,472;1,474;15/07/2001 00:00:00
187;15/07/2001 00:00:00;"USD";"CNY";8,237;8,238;15/07/2001 00:00:00
188;15/07/2001 00:00:00;"USD";"DEM";1,935;1,935;15/07/2001 00:00:00
189;15/07/2001 00:00:00;"USD";"EUR";0,989;0,99;15/07/2001 00:00:00
190;15/07/2001 00:00:00;"USD";"FRF";6,488;6,489;15/07/2001 00:00:00
191;15/07/2001 00:00:00;"USD";"GBP";0,624;0,624;15/07/2001 00:00:00
192;15/07/2001 00:00:00;"USD";"JPY";102,33;102,394;15/07/2001 00:00:00
193;15/07/2001 00:00:00;"USD";"MXN";9,35;9,351;15/07/2001 00:00:00
194;15/07/2001 00:00:00;"USD";"SAR";3,751;3,76;15/07/2001 00:00:00
195;15/07/2001 00:00:00;"USD";"VEB";638,5;638,53;15/07/2001 00:00:00
196;16/07/2001 00:00:00;"USD";"ARS";1,0;0,999;16/07/2001 00:00:00
197;16/07/2001 00:00:00;"USD";"AUD";1,574;1,574;16/07/2001 00:00:00
198;16/07/2001 00:00:00;"USD";"BRL";1,924;1,914;16/07/2001 00:00:00
199;16/07/2001 00:00:00;"USD";"CAD";1,474;1,472;16/07/2001 00:00:00
200;16/07/2001 00:00:00;"USD";"CNY";8,237;8,237;16/07/2001 00:00:00
201;16/07/2001 00:00:00;"USD";"DEM";1,939;1,939;16/07/2001 00:00:00
202;16/07/2001 00:00:00;"USD";"EUR";0,992;0,991;16/07/2001 00:00:00
203;16/07/2001 00:00:00;"USD";"FRF";6,504;6,504;16/07/2001 00:00:00
204;16/07/2001 00:00:00;"USD";"GBP";0,626;0,625;16/07/2001 00:00:00
205;16/07/2001 00:00:00;"USD";"JPY";102,09;102,055;16/07/2001 00:00:00
206;16/07/2001 00:00:00;"USD";"MXN";9,35;9,343;16/07/2001 00:00:00
207;16/07/2001 00:00:00;"USD";"SAR";3,751;3,75;16/07/2001 00:00:00
208;16/07/2001 00:00:00;"USD";"VEB";638,5;638,5;16/07/2001 00:00:00
209;17/07/2001 00:00:00;"USD";"ARS";1,0;1,001;17/07/2001 00:00:00
210;17/07/2001 00:00:00;"USD";"AUD";1,571;1,571;17/07/2001 00:00:00
211;17/07/2001 00:00:00;"USD";"BRL";1,924;1,933;17/07/2001 00:00:00
212;17/07/2001 00:00:00;"USD";"CAD";1,474;1,476;17/07/2001 00:00:00
213;17/07/2001 00:00:00;"USD";"CNY";8,237;8,237;17/07/2001 00:00:00
214;17/07/2001 00:00:00;"USD";"DEM";1,938;1,938;17/07/2001 00:00:00
215;17/07/2001 00:00:00;"USD";"EUR";0,991;0,991;17/07/2001 00:00:00
216;17/07/2001 00:00:00;"USD";"FRF";6,499;6,5;17/07/2001 00:00:00
217;17/07/2001 00:00:00;"USD";"GBP";0,625;0,626;17/07/2001 00:00:00
218;17/07/2001 00:00:00;"USD";"JPY";102,34;102,406;17/07/2001 00:00:00
219;17/07/2001 00:00:00;"USD";"MXN";9,35;9,35;17/07/2001 00:00:00
220;17/07/2001 00:00:00;"USD";"SAR";3,751;3,755;17/07/2001 00:00:00
221;17/07/2001 00:00:00;"USD";"VEB";638,5;638,55;17/07/2001 00:00:00
222;18/07/2001 00:00:00;"USD";"ARS";1,0;0,999;18/07/2001 00:00:00
223;18/07/2001 00:00:00;"USD";"AUD";1,579;1,579;18/07/2001 00:00:00
224;18/07/2001 00:00:00;"USD";"BRL";1,924;1,922;18/07/2001 00:00:00
225;18/07/2001 00:00:00;"USD";"CAD";1,48;1,47;18/07/2001 00:00:00
226;18/07/2001 00:00:00;"USD";"CNY";8,237;8,237;18/07/2001 00:00:00
227;18/07/2001 00:00:00;"USD";"DEM";1,944;1,944;18/07/2001 00:00:00
228;18/07/2001 00:00:00;"USD";"EUR";0,994;0,994;18/07/2001 00:00:00
229;18/07/2001 00:00:00;"USD";"FRF";6,521;6,521;18/07/2001 00:00:00
230;18/07/2001 00:00:00;"USD";"GBP";0,625;0,625;18/07/2001 00:00:00
231;18/07/2001 00:00:00;"USD";"JPY";102,57;102,542;18/07/2001 00:00:00
232;18/07/2001 00:00:00;"USD";"MXN";9,35;9,348;18/07/2001 00:00:00
233;18/07/2001 00:00:00;"USD";"SAR";3,751;3,744;18/07/2001 00:00:00
234;18/07/2001 00:00:00;"USD";"VEB";638,5;638,48;18/07/2001 00:00:00
235;19/07/2001 00:00:00;"USD";"ARS";1,0;1,0;19/07/2001 00:00:00
236;19/07/2001 00:00:00;"USD";"AUD";1,582;1,583;19/07/2001 00:00:00
