"CustomerID";"TerritoryID";"AccountNumber";"CustomerType";"rowguid";"ModifiedDate"
1;1;"AW00000001";"S";0x5EE95A3F7DB8ED4A95B4C3797AFCB74F;13/10/2004 11:15:07
2;1;"AW00000002";"S";0x57F652E5AFA97D4AA645C429D6E02491;13/10/2004 11:15:07
3;4;"AW00000003";"S";0xB174071321DBF34E98C8C104BCD6ED6D;13/10/2004 11:15:07
4;4;"AW00000004";"S";0x512886FFAA1D4440BE7C3E85583C054D;13/10/2004 11:15:07
5;4;"AW00000005";"S";0xDC5B90835E6F714FB162C98DA069F38A;13/10/2004 11:15:07
6;4;"AW00000006";"S";0x88DF921AA2BF7D46BD54FCB9E647FDD7;13/10/2004 11:15:07
7;1;"AW00000007";"S";0x3E27E90393B18E449823FE0C44AEED78;13/10/2004 11:15:07
8;5;"AW00000008";"S";0xB16813802343FA4B8BEA5B5B1E4BD4A0;13/10/2004 11:15:07
9;5;"AW00000009";"S";0x7FBB00B9C3231D4880DAC49A5BD6F772;13/10/2004 11:15:07
10;6;"AW00000010";"S";0x8D69B6CDF12FBA4F8F2260AD1D11DABD;13/10/2004 11:15:07
11;6;"AW00000011";"S";0x95340F75C459A04880E1E37EC60E77D9;13/10/2004 11:15:07
12;6;"AW00000012";"S";0xF1CA7B94321FF344B9C30011F95FBE54;13/10/2004 11:15:07
13;7;"AW00000013";"S";0x5458FAB011259B43A7AC50C9C460B175;13/10/2004 11:15:07
14;8;"AW00000014";"S";0xDCBE962F3D728F46834BB2B8AE79C849;13/10/2004 11:15:07
15;9;"AW00000015";"S";0x7B734003FAD4954793AACAEB8371BCF9;13/10/2004 11:15:07
16;10;"AW00000016";"S";0x891538C91CD3FE4E89788D3449EB1F0F;13/10/2004 11:15:07
17;5;"AW00000017";"S";0x7F41DB340B1E08449FF6987E59D0D73C;13/10/2004 11:15:07
18;3;"AW00000018";"S";0x4D6B4DC0C6945C4CA44CB449C0AC1B45;13/10/2004 11:15:07
19;1;"AW00000019";"S";0x435DAE69BE31764BBFBB5A23C4788BBC;13/10/2004 11:15:07
20;1;"AW00000020";"S";0x0AC110E0C3F1BA4B81CAA7E083350400;13/10/2004 11:15:07
21;4;"AW00000021";"S";0x420B4E560946DE439881914DA433D82D;13/10/2004 11:15:07
22;3;"AW00000022";"S";0xD6AE749773D62D41B4812573E470B478;13/10/2004 11:15:07
23;4;"AW00000023";"S";0x50823F7351322A4C8C85C285BB76B7B4;13/10/2004 11:15:07
24;4;"AW00000024";"S";0x1DE511C18D17BD4DA6FFF1CCBF4B1AAD;13/10/2004 11:15:07
25;4;"AW00000025";"S";0x4635D0312AFB8844890E4709A659E3F0;13/10/2004 11:15:07
26;5;"AW00000026";"S";0xDE9848FD28D119478C749F77605AAC4A;13/10/2004 11:15:07
27;5;"AW00000027";"S";0x4951CACA99D73B47847F83F3613D3D1F;13/10/2004 11:15:07
28;6;"AW00000028";"S";0xA4048A9B09D9494FB1C53DE317D69B2A;13/10/2004 11:15:07
29;6;"AW00000029";"S";0xFAC8A7EC0B49974B9C32043C90F789E8;13/10/2004 11:15:07
30;6;"AW00000030";"S";0xB1DF152B1E83E749B337395798B129E7;13/10/2004 11:15:07
31;7;"AW00000031";"S";0x9A20FAEF10A1944F887DE50E44FB06EA;13/10/2004 11:15:07
32;8;"AW00000032";"S";0x1388A2B92A54BF4FAE79BAD64A5E133B;13/10/2004 11:15:07
33;9;"AW00000033";"S";0x962BD9E682FAC041894566A8A5EC017B;13/10/2004 11:15:07
34;10;"AW00000034";"S";0x94A7DD9E6278F44FB8E2528847CAB2BD;13/10/2004 11:15:07
35;2;"AW00000035";"S";0xB9B6748D966CA544BEC40E9736D191BE;13/10/2004 11:15:07
36;2;"AW00000036";"S";0x1D49C053E88A164BA8302078FDDF46AD;13/10/2004 11:15:07
37;1;"AW00000037";"S";0x9AB2EBC667CC9C4590E3339E0F912906;13/10/2004 11:15:07
38;1;"AW00000038";"S";0xF3A3EDE5F14E0648BD36E61F3CB2E044;13/10/2004 11:15:07
39;3;"AW00000039";"S";0xEDB108689A3C1D40B2849AC31166D9EB;13/10/2004 11:15:07
40;4;"AW00000040";"S";0xF6285EAAC816804D894E17531F2CF972;13/10/2004 11:15:07
41;4;"AW00000041";"S";0xED20BAE119DA9243A8A8C2E670438FFB;13/10/2004 11:15:07
42;4;"AW00000042";"S";0x00D3AC647D33394DA2C4FD5972611934;13/10/2004 11:15:07
43;1;"AW00000043";"S";0x3E9D449E795D654FA4F110DD3B0E0766;13/10/2004 11:15:07
44;5;"AW00000044";"S";0x3C074BFB386B334283FE4236558F4754;13/10/2004 11:15:07
45;5;"AW00000045";"S";0xED4300B56BC63041BEBC07D413043991;13/10/2004 11:15:07
46;6;"AW00000046";"S";0xCF9E8421C288744589D5397B84DF1D0F;13/10/2004 11:15:07
47;6;"AW00000047";"S";0x85BE9A0D52D92D43831A8BEB7F4E49D0;13/10/2004 11:15:07
48;6;"AW00000048";"S";0x9A5856E68F194F45B02F9CE324457BDF;13/10/2004 11:15:07
49;7;"AW00000049";"S";0x01A4DFF3C6851841B5C56554310A1192;13/10/2004 11:15:07
50;8;"AW00000050";"S";0x6A843E0ACC2D6E4B8AB3968B5AB859F4;13/10/2004 11:15:07
51;9;"AW00000051";"S";0x3E9EC6E44BBECD4DB2F01237B391BC44;13/10/2004 11:15:07
52;10;"AW00000052";"S";0x304BB38F9DB1EC4AB02EF1BE942800E5;13/10/2004 11:15:07
53;2;"AW00000053";"S";0x40B7D381F1DC234FA5E3D81353280016;13/10/2004 11:15:07
54;2;"AW00000054";"S";0xBF3E3B12B04E2A448482A4E001CCCF89;13/10/2004 11:15:07
55;1;"AW00000055";"S";0x7B99D3F506ADA04694AFA4460F4BE471;13/10/2004 11:15:07
56;1;"AW00000056";"S";0x82160B57B19B5943984D8F728E3D6973;13/10/2004 11:15:07
57;3;"AW00000057";"S";0x2379F17F70E6424F87A3A6D1AF18EA05;13/10/2004 11:15:07
58;3;"AW00000058";"S";0xE8FE24E3E71E964B854ECFDA7B0CBBC8;13/10/2004 11:15:07
59;4;"AW00000059";"S";0x068670604C60BE4490E13A0925B8060E;13/10/2004 11:15:07
60;4;"AW00000060";"S";0x1EF329A03B43A44FB442B291D16A1B9F;13/10/2004 11:15:07
61;4;"AW00000061";"S";0x433BC5CCA666F647A38E5DD7CFAFEAA6;13/10/2004 11:15:07
62;5;"AW00000062";"S";0x44B69B357D40244CAB98E637AEE7C81E;13/10/2004 11:15:07
63;5;"AW00000063";"S";0xC3E4E276BAB1B24CB410A4D48BA886E5;13/10/2004 11:15:07
64;6;"AW00000064";"S";0x2DF9B6E6C64AC74BBF6B2F3C67498DE7;13/10/2004 11:15:07
65;6;"AW00000065";"S";0x4324087EF68AB64BA0F51586271D1F2C;13/10/2004 11:15:07
66;6;"AW00000066";"S";0x48001EE9259A9B4896C1D726DA68FB7C;13/10/2004 11:15:07
67;7;"AW00000067";"S";0x4338CE5198FC3E458CF17EA145235D0F;13/10/2004 11:15:07
68;8;"AW00000068";"S";0xF5DE3821EB80954DB340706BCD60ADDA;13/10/2004 11:15:07
69;9;"AW00000069";"S";0x371B8464253A6A41A129E9AAA2EFF4CD;13/10/2004 11:15:07
70;10;"AW00000070";"S";0x040BE1894E061343820391FA98A01B11;13/10/2004 11:15:07
71;2;"AW00000071";"S";0xC78ACC91E5277C43B940DB47692754D3;13/10/2004 11:15:07
72;2;"AW00000072";"S";0x1D08A30DC7FD0540B77DE5AFD8C15DE6;13/10/2004 11:15:07
73;1;"AW00000073";"S";0x5E135C9D60BDE046B371843391637827;13/10/2004 11:15:07
74;1;"AW00000074";"S";0x575E48736D07104BBB486043DD873582;13/10/2004 11:15:07
