"DatabaseLogID";"PostTime";"DatabaseUser";"Event";"Schema";"Object";"TSQL";"XmlEvent"
1;14/10/2005 01:58:27;"dbo";"CREATE_TABLE";"dbo";"ErrorLog";"CREATE TABLE [dbo].[ErrorLog](
    [ErrorLogID] [int] IDENTITY (1, 1) NOT NULL,
    [ErrorTime] [datetime] NOT NULL CONSTRAINT [DF_ErrorLog_ErrorTime] DEFAULT (GETDATE()),
    [UserName] [sysname] NOT NULL, 
    [ErrorNumber] [int] NOT NULL, 
    [ErrorSeverity] [int] NULL, 
    [ErrorState] [int] NULL, 
    [ErrorProcedure] [nvarchar](126) NULL, 
    [ErrorLine] [int] NULL, 
    [ErrorMessage] [nvarchar](4000) NOT NULL
) ON [PRIMARY];
";"<EVENT_INSTANCE><EventType>CREATE_TABLE</EventType><PostTime>2005-10-14T01:58:27.523</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>dbo</SchemaName><ObjectName>ErrorLog</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>CREATE TABLE [dbo].[ErrorLog](&#x0D;
    [ErrorLogID] [int] IDENTITY (1, 1) NOT NULL,&#x0D;
    [ErrorTime] [datetime] NOT NULL CONSTRAINT [DF_ErrorLog_ErrorTime] DEFAULT (GETDATE()),&#x0D;
    [UserName] [sysname] NOT NULL, &#x0D;
    [ErrorNumber] [int] NOT NULL, &#x0D;
    [ErrorSeverity] [int] NULL, &#x0D;
    [ErrorState] [int] NULL, &#x0D;
    [ErrorProcedure] [nvarchar](126) NULL, &#x0D;
    [ErrorLine] [int] NULL, &#x0D;
    [ErrorMessage] [nvarchar](4000) NOT NULL&#x0D;
) ON [PRIMARY];&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
2;14/10/2005 01:58:27;"dbo";"ALTER_TABLE";"dbo";"ErrorLog";"ALTER TABLE [dbo].[ErrorLog] WITH CHECK ADD 
    CONSTRAINT [PK_ErrorLog_ErrorLogID] PRIMARY KEY CLUSTERED 
    (
        [ErrorLogID]
    )  ON [PRIMARY];
";"<EVENT_INSTANCE><EventType>ALTER_TABLE</EventType><PostTime>2005-10-14T01:58:27.633</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>dbo</SchemaName><ObjectName>ErrorLog</ObjectName><ObjectType>TABLE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>ALTER TABLE [dbo].[ErrorLog] WITH CHECK ADD &#x0D;
    CONSTRAINT [PK_ErrorLog_ErrorLogID] PRIMARY KEY CLUSTERED &#x0D;
    (&#x0D;
        [ErrorLogID]&#x0D;
    )  ON [PRIMARY];&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
3;14/10/2005 01:58:27;"dbo";"CREATE_PROCEDURE";"dbo";"uspPrintError";"
-- uspPrintError prints error information about the error that caused 
-- execution to jump to the CATCH block of a TRY...CATCH construct. 
-- Should be executed from within the scope of a CATCH block otherwise 
-- it will return without printing any error information.
CREATE PROCEDURE [dbo].[uspPrintError] 
AS
BEGIN
    SET NOCOUNT ON;

    -- Print error information. 
    PRINT 'Error ' + CONVERT(varchar(50), ERROR_NUMBER()) +
          ', Severity ' + CONVERT(varchar(5), ERROR_SEVERITY()) +
          ', State ' + CONVERT(varchar(5), ERROR_STATE()) + 
          ', Procedure ' + ISNULL(ERROR_PROCEDURE(), '-') + 
          ', Line ' + CONVERT(varchar(5), ERROR_LINE());
    PRINT ERROR_MESSAGE();
END;
";"<EVENT_INSTANCE><EventType>CREATE_PROCEDURE</EventType><PostTime>2005-10-14T01:58:27.740</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>dbo</SchemaName><ObjectName>uspPrintError</ObjectName><ObjectType>PROCEDURE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>&#x0D;
-- uspPrintError prints error information about the error that caused &#x0D;
-- execution to jump to the CATCH block of a TRY...CATCH construct. &#x0D;
-- Should be executed from within the scope of a CATCH block otherwise &#x0D;
-- it will return without printing any error information.&#x0D;
CREATE PROCEDURE [dbo].[uspPrintError] &#x0D;
AS&#x0D;
BEGIN&#x0D;
    SET NOCOUNT ON;&#x0D;
&#x0D;
    -- Print error information. &#x0D;
    PRINT 'Error ' + CONVERT(varchar(50), ERROR_NUMBER()) +&#x0D;
          ', Severity ' + CONVERT(varchar(5), ERROR_SEVERITY()) +&#x0D;
          ', State ' + CONVERT(varchar(5), ERROR_STATE()) + &#x0D;
          ', Procedure ' + ISNULL(ERROR_PROCEDURE(), '-') + &#x0D;
          ', Line ' + CONVERT(varchar(5), ERROR_LINE());&#x0D;
    PRINT ERROR_MESSAGE();&#x0D;
END;&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
4;14/10/2005 01:58:27;"dbo";"CREATE_PROCEDURE";"dbo";"uspLogError";"
-- uspLogError logs error information in the ErrorLog table about the 
-- error that caused execution to jump to the CATCH block of a 
-- TRY...CATCH construct. This should be executed from within the scope 
-- of a CATCH block otherwise it will return without inserting error 
-- information. 
CREATE PROCEDURE [dbo].[uspLogError] 
    @ErrorLogID [int] = 0 OUTPUT -- contains the ErrorLogID of the row inserted
AS                               -- by uspLogError in the ErrorLog table
BEGIN
    SET NOCOUNT ON;

    -- Output parameter value of 0 indicates that error 
    -- information was not logged
    SET @ErrorLogID = 0;

    BEGIN TRY
        -- Return if there is no error information to log
        IF ERROR_NUMBER() IS NULL
            RETURN;

        -- Return if inside an uncommittable transaction.
        -- Data insertion/modification is not allowed when 
        -- a transaction is in an uncommittable state.
        IF XACT_STATE() = -1
        BEGIN
            PRINT 'Cannot log error since the current transaction is in an uncommittable state. ' 
                + 'Rollback the transaction before executing uspLogError in order to successfully log error information.';
            RETURN;
        END

        INSERT [dbo].[ErrorLog] 
            (
            [UserName], 
            [ErrorNumber], 
            [ErrorSeverity], 
            [ErrorState], 
            [ErrorProcedure], 
            [ErrorLine], 
            [ErrorMessage]
            ) 
        VALUES 
            (
            CONVERT(sysname, CURRENT_USER), 
            ERROR_NUMBER(),
            ERROR_SEVERITY(),
            ERROR_STATE(),
            ERROR_PROCEDURE(),
            ERROR_LINE(),
            ERROR_MESSAGE()
            );

        -- Pass back the ErrorLogID of the row inserted
        SET @ErrorLogID = @@IDENTITY;
    END TRY
    BEGIN CATCH
        PRINT 'An error occurred in stored procedure uspLogError: ';
        EXECUTE [dbo].[uspPrintError];
        RETURN -1;
    END CATCH
END;
";"<EVENT_INSTANCE><EventType>CREATE_PROCEDURE</EventType><PostTime>2005-10-14T01:58:27.850</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>dbo</SchemaName><ObjectName>uspLogError</ObjectName><ObjectType>PROCEDURE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>&#x0D;
-- uspLogError logs error information in the ErrorLog table about the &#x0D;
-- error that caused execution to jump to the CATCH block of a &#x0D;
-- TRY...CATCH construct. This should be executed from within the scope &#x0D;
-- of a CATCH block otherwise it will return without inserting error &#x0D;
-- information. &#x0D;
CREATE PROCEDURE [dbo].[uspLogError] &#x0D;
    @ErrorLogID [int] = 0 OUTPUT -- contains the ErrorLogID of the row inserted&#x0D;
AS                               -- by uspLogError in the ErrorLog table&#x0D;
BEGIN&#x0D;
    SET NOCOUNT ON;&#x0D;
&#x0D;
    -- Output parameter value of 0 indicates that error &#x0D;
    -- information was not logged&#x0D;
    SET @ErrorLogID = 0;&#x0D;
&#x0D;
    BEGIN TRY&#x0D;
        -- Return if there is no error information to log&#x0D;
        IF ERROR_NUMBER() IS NULL&#x0D;
            RETURN;&#x0D;
&#x0D;
        -- Return if inside an uncommittable transaction.&#x0D;
        -- Data insertion/modification is not allowed when &#x0D;
        -- a transaction is in an uncommittable state.&#x0D;
        IF XACT_STATE() = -1&#x0D;
        BEGIN&#x0D;
            PRINT 'Cannot log error since the current transaction is in an uncommittable state. ' &#x0D;
                + 'Rollback the transaction before executing uspLogError in order to successfully log error information.';&#x0D;
            RETURN;&#x0D;
        END&#x0D;
&#x0D;
        INSERT [dbo].[ErrorLog] &#x0D;
            (&#x0D;
            [UserName], &#x0D;
            [ErrorNumber], &#x0D;
            [ErrorSeverity], &#x0D;
            [ErrorState], &#x0D;
            [ErrorProcedure], &#x0D;
            [ErrorLine], &#x0D;
            [ErrorMessage]&#x0D;
            ) &#x0D;
        VALUES &#x0D;
            (&#x0D;
            CONVERT(sysname, CURRENT_USER), &#x0D;
            ERROR_NUMBER(),&#x0D;
            ERROR_SEVERITY(),&#x0D;
            ERROR_STATE(),&#x0D;
            ERROR_PROCEDURE(),&#x0D;
            ERROR_LINE(),&#x0D;
            ERROR_MESSAGE()&#x0D;
            );&#x0D;
&#x0D;
        -- Pass back the ErrorLogID of the row inserted&#x0D;
        SET @ErrorLogID = @@IDENTITY;&#x0D;
    END TRY&#x0D;
    BEGIN CATCH&#x0D;
        PRINT 'An error occurred in stored procedure uspLogError: ';&#x0D;
        EXECUTE [dbo].[uspPrintError];&#x0D;
        RETURN -1;&#x0D;
    END CATCH&#x0D;
END;&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
5;14/10/2005 01:58:28;"dbo";"CREATE_TYPE";"dbo";"AccountNumber";"CREATE TYPE [AccountNumber] FROM nvarchar(15) NULL;
";"<EVENT_INSTANCE><EventType>CREATE_TYPE</EventType><PostTime>2005-10-14T01:58:28.070</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>dbo</SchemaName><ObjectName>AccountNumber</ObjectName><ObjectType>TYPE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>CREATE TYPE [AccountNumber] FROM nvarchar(15) NULL;&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
6;14/10/2005 01:58:28;"dbo";"CREATE_TYPE";"dbo";"Flag";"CREATE TYPE [Flag] FROM bit NOT NULL;
";"<EVENT_INSTANCE><EventType>CREATE_TYPE</EventType><PostTime>2005-10-14T01:58:28.070</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>dbo</SchemaName><ObjectName>Flag</ObjectName><ObjectType>TYPE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>CREATE TYPE [Flag] FROM bit NOT NULL;&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
7;14/10/2005 01:58:28;"dbo";"CREATE_TYPE";"dbo";"NameStyle";"CREATE TYPE [NameStyle] FROM bit NOT NULL;
";"<EVENT_INSTANCE><EventType>CREATE_TYPE</EventType><PostTime>2005-10-14T01:58:28.070</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>dbo</SchemaName><ObjectName>NameStyle</ObjectName><ObjectType>TYPE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>CREATE TYPE [NameStyle] FROM bit NOT NULL;&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
8;14/10/2005 01:58:28;"dbo";"CREATE_TYPE";"dbo";"Name";"CREATE TYPE [Name] FROM nvarchar(50) NULL;
";"<EVENT_INSTANCE><EventType>CREATE_TYPE</EventType><PostTime>2005-10-14T01:58:28.070</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>dbo</SchemaName><ObjectName>Name</ObjectName><ObjectType>TYPE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>CREATE TYPE [Name] FROM nvarchar(50) NULL;&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
9;14/10/2005 01:58:28;"dbo";"CREATE_TYPE";"dbo";"OrderNumber";"CREATE TYPE [OrderNumber] FROM nvarchar(25) NULL;
";"<EVENT_INSTANCE><EventType>CREATE_TYPE</EventType><PostTime>2005-10-14T01:58:28.070</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>dbo</SchemaName><ObjectName>OrderNumber</ObjectName><ObjectType>TYPE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>CREATE TYPE [OrderNumber] FROM nvarchar(25) NULL;&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
10;14/10/2005 01:58:28;"dbo";"CREATE_TYPE";"dbo";"Phone";"CREATE TYPE [Phone] FROM nvarchar(25) NULL;
";"<EVENT_INSTANCE><EventType>CREATE_TYPE</EventType><PostTime>2005-10-14T01:58:28.070</PostTime><SPID>51</SPID><ServerName>SQLBLD162\MKMASTR</ServerName><LoginName>sa</LoginName><UserName>dbo</UserName><DatabaseName>adventureworks</DatabaseName><SchemaName>dbo</SchemaName><ObjectName>Phone</ObjectName><ObjectType>TYPE</ObjectType><TSQLCommand><SetOptions ANSI_NULLS=""ON"" ANSI_NULL_DEFAULT=""ON"" ANSI_PADDING=""ON"" QUOTED_IDENTIFIER=""ON"" ENCRYPTED=""FALSE""/><CommandText>CREATE TYPE [Phone] FROM nvarchar(25) NULL;&#x0D;
</CommandText></TSQLCommand></EVENT_INSTANCE>"
