"ProductID";"Name";"ProductNumber";"MakeFlag";"FinishedGoodsFlag";"Color";"SafetyStockLevel";"ReorderPoint";"StandardCost";"ListPrice";"Size";"SizeUnitMeasureCode";"WeightUnitMeasureCode";"Weight";"DaysToManufacture";"ProductLine";"Class";"Style";"ProductSubcategoryID";"ProductModelID";"SellStartDate";"SellEndDate";"DiscontinuedDate";"rowguid";"ModifiedDate"
1;"Adjustable Race";"AR-5381";false;false;null;1000;750;0,0;0,0;null;null;null;null;0;null;null;null;null;null;01/06/1998 00:00:00;null;null;0xB7154269F7080D4CACB1D734BA44C0C8;11/03/2004 10:01:36
2;"Bearing Ball";"BA-8327";false;false;null;1000;750;0,0;0,0;null;null;null;null;0;null;null;null;null;null;01/06/1998 00:00:00;null;null;0x203CAE583A4F4947A7D4D568806CC537;11/03/2004 10:01:36
3;"BB Ball Bearing";"BE-2349";true;false;null;800;600;0,0;0,0;null;null;null;null;1;null;null;null;null;null;01/06/1998 00:00:00;null;null;0xD2AE219CFA5B184FBCB8F11638DC2E4E;11/03/2004 10:01:36
4;"Headset Ball Bearings";"BE-2908";false;false;null;800;600;0,0;0,0;null;null;null;null;0;null;null;null;null;null;01/06/1998 00:00:00;null;null;0xCBD6FEECFF51B549B06C7D8AC834DB8B;11/03/2004 10:01:36
316;"Blade";"BL-2036";true;false;null;800;600;0,0;0,0;null;null;null;null;1;null;null;null;null;null;01/06/1998 00:00:00;null;null;0x50973EE73B60314189F53DD15ED5FF80;11/03/2004 10:01:36
317;"LL Crankarm";"CA-5965";false;false;"Black";500;375;0,0;0,0;null;null;null;null;0;null;"L ";null;null;null;01/06/1998 00:00:00;null;null;0xB7109D3CB2A674479963C19DCEE72FEA;11/03/2004 10:01:36
318;"ML Crankarm";"CA-6738";false;false;"Black";500;375;0,0;0,0;null;null;null;null;0;null;"M ";null;null;null;01/06/1998 00:00:00;null;null;0x929ABBEA07FAAB4E8955F0517B4A4CA7;11/03/2004 10:01:36
319;"HL Crankarm";"CA-7457";false;false;"Black";500;375;0,0;0,0;null;null;null;null;0;null;null;null;null;null;01/06/1998 00:00:00;null;null;0x84D33F7D294F4B4886FA4206E276FE58;11/03/2004 10:01:36
320;"Chainring Bolts";"CB-2903";false;false;"Silver";1000;750;0,0;0,0;null;null;null;null;0;null;null;null;null;null;01/06/1998 00:00:00;null;null;0x488EE37BD6B78644888EF53C26735101;11/03/2004 10:01:36
321;"Chainring Nut";"CN-6137";false;false;"Silver";1000;750;0,0;0,0;null;null;null;null;0;null;null;null;null;null;01/06/1998 00:00:00;null;null;0xD7B1143369EF3144B6DDDC75268BD5DF;11/03/2004 10:01:36
