"ProductID";"StartDate";"EndDate";"StandardCost";"ModifiedDate"
707;01/07/2001 00:00:00;30/06/2002 00:00:00;12,028;30/06/2002 00:00:00
707;01/07/2002 00:00:00;30/06/2003 00:00:00;13,878;30/06/2003 00:00:00
707;01/07/2003 00:00:00;null;13,086;17/06/2003 00:00:00
708;01/07/2001 00:00:00;30/06/2002 00:00:00;12,028;30/06/2002 00:00:00
708;01/07/2002 00:00:00;30/06/2003 00:00:00;13,878;30/06/2003 00:00:00
708;01/07/2003 00:00:00;null;13,086;17/06/2003 00:00:00
709;01/07/2001 00:00:00;30/06/2002 00:00:00;3,396;30/06/2002 00:00:00
710;01/07/2001 00:00:00;30/06/2002 00:00:00;3,396;30/06/2002 00:00:00
711;01/07/2001 00:00:00;30/06/2002 00:00:00;12,028;30/06/2002 00:00:00
711;01/07/2002 00:00:00;30/06/2003 00:00:00;13,878;30/06/2003 00:00:00
711;01/07/2003 00:00:00;null;13,086;17/06/2003 00:00:00
712;01/07/2001 00:00:00;30/06/2002 00:00:00;5,705;30/06/2002 00:00:00
712;01/07/2002 00:00:00;30/06/2003 00:00:00;5,23;30/06/2003 00:00:00
712;01/07/2003 00:00:00;null;6,922;17/06/2003 00:00:00
713;01/07/2001 00:00:00;30/06/2002 00:00:00;31,724;30/06/2002 00:00:00
713;01/07/2002 00:00:00;30/06/2003 00:00:00;29,081;30/06/2003 00:00:00
713;01/07/2003 00:00:00;null;38,492;17/06/2003 00:00:00
714;01/07/2001 00:00:00;30/06/2002 00:00:00;31,724;30/06/2002 00:00:00
714;01/07/2002 00:00:00;30/06/2003 00:00:00;29,081;30/06/2003 00:00:00
714;01/07/2003 00:00:00;null;38,492;17/06/2003 00:00:00
715;01/07/2001 00:00:00;30/06/2002 00:00:00;31,724;30/06/2002 00:00:00
715;01/07/2002 00:00:00;30/06/2003 00:00:00;29,081;30/06/2003 00:00:00
715;01/07/2003 00:00:00;null;38,492;17/06/2003 00:00:00
716;01/07/2001 00:00:00;30/06/2002 00:00:00;31,724;30/06/2002 00:00:00
716;01/07/2002 00:00:00;30/06/2003 00:00:00;29,081;30/06/2003 00:00:00
716;01/07/2003 00:00:00;null;38,492;17/06/2003 00:00:00
717;01/07/2001 00:00:00;30/06/2002 00:00:00;747,968;30/06/2002 00:00:00
717;01/07/2002 00:00:00;30/06/2003 00:00:00;722,257;30/06/2003 00:00:00
717;01/07/2003 00:00:00;null;868,634;17/06/2003 00:00:00
718;01/07/2001 00:00:00;30/06/2002 00:00:00;747,968;30/06/2002 00:00:00
718;01/07/2002 00:00:00;30/06/2003 00:00:00;722,257;30/06/2003 00:00:00
718;01/07/2003 00:00:00;null;868,634;17/06/2003 00:00:00
719;01/07/2001 00:00:00;30/06/2002 00:00:00;747,968;30/06/2002 00:00:00
719;01/07/2002 00:00:00;30/06/2003 00:00:00;722,257;30/06/2003 00:00:00
719;01/07/2003 00:00:00;null;868,634;17/06/2003 00:00:00
720;01/07/2001 00:00:00;30/06/2002 00:00:00;747,968;30/06/2002 00:00:00
720;01/07/2002 00:00:00;30/06/2003 00:00:00;722,257;30/06/2003 00:00:00
720;01/07/2003 00:00:00;null;868,634;17/06/2003 00:00:00
721;01/07/2001 00:00:00;30/06/2002 00:00:00;747,968;30/06/2002 00:00:00
721;01/07/2002 00:00:00;30/06/2003 00:00:00;722,257;30/06/2003 00:00:00
721;01/07/2003 00:00:00;null;868,634;17/06/2003 00:00:00
722;01/07/2001 00:00:00;30/06/2002 00:00:00;176,2;30/06/2002 00:00:00
722;01/07/2002 00:00:00;30/06/2003 00:00:00;170,143;30/06/2003 00:00:00
722;01/07/2003 00:00:00;null;204,625;17/06/2003 00:00:00
723;01/07/2001 00:00:00;30/06/2002 00:00:00;176,2;30/06/2002 00:00:00
723;01/07/2002 00:00:00;30/06/2003 00:00:00;170,143;30/06/2003 00:00:00
723;01/07/2003 00:00:00;null;204,625;17/06/2003 00:00:00
724;01/07/2001 00:00:00;30/06/2002 00:00:00;176,2;30/06/2002 00:00:00
724;01/07/2002 00:00:00;30/06/2003 00:00:00;170,143;30/06/2003 00:00:00
724;01/07/2003 00:00:00;null;204,625;17/06/2003 00:00:00
725;01/07/2001 00:00:00;30/06/2002 00:00:00;181,486;30/06/2002 00:00:00
725;01/07/2002 00:00:00;30/06/2003 00:00:00;187,157;30/06/2003 00:00:00
726;01/07/2001 00:00:00;30/06/2002 00:00:00;181,486;30/06/2002 00:00:00
726;01/07/2002 00:00:00;30/06/2003 00:00:00;187,157;30/06/2003 00:00:00
727;01/07/2001 00:00:00;30/06/2002 00:00:00;181,486;30/06/2002 00:00:00
727;01/07/2002 00:00:00;30/06/2003 00:00:00;187,157;30/06/2003 00:00:00
728;01/07/2001 00:00:00;30/06/2002 00:00:00;181,486;30/06/2002 00:00:00
728;01/07/2002 00:00:00;30/06/2003 00:00:00;187,157;30/06/2003 00:00:00
729;01/07/2001 00:00:00;30/06/2002 00:00:00;181,486;30/06/2002 00:00:00
729;01/07/2002 00:00:00;30/06/2003 00:00:00;187,157;30/06/2003 00:00:00
730;01/07/2001 00:00:00;30/06/2002 00:00:00;181,486;30/06/2002 00:00:00
730;01/07/2002 00:00:00;30/06/2003 00:00:00;187,157;30/06/2003 00:00:00
731;01/07/2001 00:00:00;30/06/2002 00:00:00;352,139;30/06/2002 00:00:00
732;01/07/2001 00:00:00;30/06/2002 00:00:00;352,139;30/06/2002 00:00:00
733;01/07/2001 00:00:00;30/06/2002 00:00:00;352,139;30/06/2002 00:00:00
734;01/07/2001 00:00:00;30/06/2002 00:00:00;352,139;30/06/2002 00:00:00
735;01/07/2001 00:00:00;30/06/2002 00:00:00;352,139;30/06/2002 00:00:00
736;01/07/2001 00:00:00;30/06/2002 00:00:00;176,2;30/06/2002 00:00:00
736;01/07/2002 00:00:00;30/06/2003 00:00:00;170,143;30/06/2003 00:00:00
736;01/07/2003 00:00:00;null;204,625;17/06/2003 00:00:00
737;01/07/2001 00:00:00;30/06/2002 00:00:00;176,2;30/06/2002 00:00:00
737;01/07/2002 00:00:00;30/06/2003 00:00:00;170,143;30/06/2003 00:00:00
737;01/07/2003 00:00:00;null;204,625;17/06/2003 00:00:00
738;01/07/2001 00:00:00;30/06/2002 00:00:00;176,2;30/06/2002 00:00:00
738;01/07/2002 00:00:00;30/06/2003 00:00:00;170,143;30/06/2003 00:00:00
738;01/07/2003 00:00:00;null;204,625;17/06/2003 00:00:00
739;01/07/2001 00:00:00;30/06/2002 00:00:00;623,84;30/06/2002 00:00:00
739;01/07/2002 00:00:00;30/06/2003 00:00:00;660,914;30/06/2003 00:00:00
739;01/07/2003 00:00:00;null;747,2;17/06/2003 00:00:00
740;01/07/2001 00:00:00;30/06/2002 00:00:00;706,811;30/06/2002 00:00:00
741;01/07/2001 00:00:00;30/06/2002 00:00:00;706,811;30/06/2002 00:00:00
742;01/07/2001 00:00:00;30/06/2002 00:00:00;623,84;30/06/2002 00:00:00
742;01/07/2002 00:00:00;30/06/2003 00:00:00;660,914;30/06/2003 00:00:00
742;01/07/2003 00:00:00;null;747,2;17/06/2003 00:00:00
743;01/07/2001 00:00:00;30/06/2002 00:00:00;617,028;30/06/2002 00:00:00
743;01/07/2002 00:00:00;30/06/2003 00:00:00;653,697;30/06/2003 00:00:00
743;01/07/2003 00:00:00;null;739,041;17/06/2003 00:00:00
744;01/07/2001 00:00:00;30/06/2002 00:00:00;699,093;30/06/2002 00:00:00
745;01/07/2001 00:00:00;30/06/2002 00:00:00;699,093;30/06/2002 00:00:00
746;01/07/2001 00:00:00;30/06/2002 00:00:00;617,028;30/06/2002 00:00:00
746;01/07/2002 00:00:00;30/06/2003 00:00:00;653,697;30/06/2003 00:00:00
746;01/07/2003 00:00:00;null;739,041;17/06/2003 00:00:00
747;01/07/2001 00:00:00;30/06/2002 00:00:00;617,028;30/06/2002 00:00:00
747;01/07/2002 00:00:00;30/06/2003 00:00:00;653,697;30/06/2003 00:00:00
747;01/07/2003 00:00:00;null;739,041;17/06/2003 00:00:00
748;01/07/2001 00:00:00;30/06/2002 00:00:00;623,84;30/06/2002 00:00:00
748;01/07/2002 00:00:00;30/06/2003 00:00:00;660,914;30/06/2003 00:00:00
748;01/07/2003 00:00:00;null;747,2;17/06/2003 00:00:00
749;01/07/2001 00:00:00;30/06/2002 00:00:00;2171,294;30/06/2002 00:00:00
750;01/07/2001 00:00:00;30/06/2002 00:00:00;2171,294;30/06/2002 00:00:00
751;01/07/2001 00:00:00;30/06/2002 00:00:00;2171,294;30/06/2002 00:00:00
752;01/07/2001 00:00:00;30/06/2002 00:00:00;2171,294;30/06/2002 00:00:00
753;01/07/2001 00:00:00;30/06/2002 00:00:00;2171,294;30/06/2002 00:00:00
754;01/07/2001 00:00:00;30/06/2002 00:00:00;884,708;30/06/2002 00:00:00
755;01/07/2001 00:00:00;30/06/2002 00:00:00;884,708;30/06/2002 00:00:00
756;01/07/2001 00:00:00;30/06/2002 00:00:00;884,708;30/06/2002 00:00:00
757;01/07/2001 00:00:00;30/06/2002 00:00:00;884,708;30/06/2002 00:00:00
758;01/07/2001 00:00:00;30/06/2002 00:00:00;884,708;30/06/2002 00:00:00
759;01/07/2001 00:00:00;30/06/2002 00:00:00;413,146;30/06/2002 00:00:00
