"ProductDescriptionID";"Description";"rowguid";"ModifiedDate"
3;"Chromoly steel.";0x3AED1E30821A554899CB2AFE8290D641;01/06/2003 00:00:00
4;"Aluminum alloy cups; large diameter spindle.";0x28A5EBDF11DA50469D86CAFDA7294EB0;01/06/2003 00:00:00
5;"Aluminum alloy cups and a hollow axle.";0xA78D17F77E1A9749847006737181305E;01/06/2003 00:00:00
8;"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.";0xE546678E97ADE246BD24FCEA075C3B52;01/06/2003 00:00:00
64;"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.";0x904E1C7BE2859247B47BE0C424E2EC94;01/06/2003 00:00:00
88;"For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.";0x53D21A4C7E35984AB02E02180AA406F6;01/06/2003 00:00:00
128;"Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.";0xE60907131285B9499F621F5C99152056;11/03/2004 10:32:17
168;"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.";0xA69D97DBC84C71419ECF65003FF8178A;01/06/2003 00:00:00
170;"Suitable for any type of off-road trip. Fits any budget.";0x122477EA696316449CC9C1A5D1FF9C52;01/06/2003 00:00:00
209;"Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.";0xFD5FFFF57CCBD64ABBC94D250BB6E98D;01/06/2003 00:00:00
249;"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.";0x44F19142937660448B0B1373E0433021;01/06/2003 00:00:00
320;"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.";0xD9DE30E1ECD05646BF4D1A3A46491891;01/06/2003 00:00:00
