"ProductModelID";"ProductDescriptionID";"CultureID";"ModifiedDate"
1;1199;"en    ";01/06/2003 00:00:00
1;1467;"ar    ";01/06/2003 00:00:00
1;1589;"fr    ";01/06/2003 00:00:00
1;1712;"th    ";01/06/2003 00:00:00
1;1838;"he    ";01/06/2003 00:00:00
1;1965;"zh-cht";01/06/2003 00:00:00
2;1210;"en    ";01/06/2003 00:00:00
2;1476;"ar    ";01/06/2003 00:00:00
2;1598;"fr    ";01/06/2003 00:00:00
2;1721;"th    ";01/06/2003 00:00:00
2;1847;"he    ";01/06/2003 00:00:00
2;1974;"zh-cht";01/06/2003 00:00:00
3;1195;"en    ";01/06/2003 00:00:00
3;1464;"ar    ";01/06/2003 00:00:00
3;1586;"fr    ";01/06/2003 00:00:00
3;1709;"th    ";01/06/2003 00:00:00
3;1835;"he    ";01/06/2003 00:00:00
3;1961;"zh-cht";01/06/2003 00:00:00
4;1194;"en    ";01/06/2003 00:00:00
4;1463;"ar    ";01/06/2003 00:00:00
4;1585;"fr    ";01/06/2003 00:00:00
4;1708;"th    ";01/06/2003 00:00:00
4;1834;"he    ";01/06/2003 00:00:00
4;1960;"zh-cht";01/06/2003 00:00:00
5;647;"en    ";01/06/2003 00:00:00
5;1400;"ar    ";01/06/2003 00:00:00
5;1605;"fr    ";01/06/2003 00:00:00
5;1639;"th    ";01/06/2003 00:00:00
5;1768;"he    ";01/06/2003 00:00:00
5;1889;"zh-cht";01/06/2003 00:00:00
6;1090;"en    ";01/06/2003 00:00:00
6;1451;"ar    ";01/06/2003 00:00:00
6;1573;"fr    ";01/06/2003 00:00:00
6;1696;"th    ";01/06/2003 00:00:00
6;1827;"he    ";01/06/2003 00:00:00
6;1948;"zh-cht";01/06/2003 00:00:00
7;1182;"en    ";01/06/2003 00:00:00
7;1453;"ar    ";01/06/2003 00:00:00
7;1575;"fr    ";01/06/2003 00:00:00
7;1698;"th    ";01/06/2003 00:00:00
7;1829;"he    ";01/06/2003 00:00:00
7;1950;"zh-cht";01/06/2003 00:00:00
8;637;"en    ";01/06/2003 00:00:00
8;1397;"ar    ";01/06/2003 00:00:00
8;1514;"fr    ";01/06/2003 00:00:00
8;1636;"th    ";01/06/2003 00:00:00
8;1759;"he    ";01/06/2003 00:00:00
8;1886;"zh-cht";01/06/2003 00:00:00
9;1020;"en    ";01/06/2003 00:00:00
9;1449;"ar    ";01/06/2003 00:00:00
