"PurchaseOrderID";"PurchaseOrderDetailID";"DueDate";"OrderQty";"ProductID";"UnitPrice";"LineTotal";"ReceivedQty";"RejectedQty";"StockedQty";"ModifiedDate"
1;1;31/05/2001 00:00:00;4;1;50,26;201,04;"3,00";"0,00";"3,00";24/05/2001 00:00:00
2;2;31/05/2001 00:00:00;3;359;45,12;135,36;"3,00";"0,00";"3,00";24/05/2001 00:00:00
2;3;31/05/2001 00:00:00;3;360;45,581;136,742;"3,00";"0,00";"3,00";24/05/2001 00:00:00
3;4;31/05/2001 00:00:00;550;530;16,086;8847,3;"550,00";"0,00";"550,00";24/05/2001 00:00:00
4;5;31/05/2001 00:00:00;3;4;57,026;171,077;"2,00";"1,00";"1,00";24/05/2001 00:00:00
5;6;14/06/2001 00:00:00;550;512;37,086;20397,3;"550,00";"0,00";"550,00";07/06/2001 00:00:00
6;7;14/06/2001 00:00:00;550;513;26,597;14628,075;"468,00";"0,00";"468,00";07/06/2001 00:00:00
7;8;14/06/2001 00:00:00;550;317;27,059;14882,175;"550,00";"0,00";"550,00";07/06/2001 00:00:00
7;9;14/06/2001 00:00:00;550;318;33,579;18468,45;"550,00";"0,00";"550,00";07/06/2001 00:00:00
7;10;14/06/2001 00:00:00;550;319;46,064;25334,925;"550,00";"0,00";"550,00";07/06/2001 00:00:00
8;11;14/06/2001 00:00:00;3;403;47,471;142,412;"3,00";"0,00";"3,00";07/06/2001 00:00:00
8;12;14/06/2001 00:00:00;3;404;45,371;136,112;"3,00";"0,00";"3,00";07/06/2001 00:00:00
8;13;14/06/2001 00:00:00;3;405;49,644;148,932;"3,00";"0,00";"3,00";07/06/2001 00:00:00
8;14;14/06/2001 00:00:00;3;406;45,371;136,112;"3,00";"0,00";"3,00";07/06/2001 00:00:00
8;15;14/06/2001 00:00:00;3;407;43,271;129,812;"3,00";"0,00";"3,00";07/06/2001 00:00:00
9;16;28/01/2002 00:00:00;3;422;47,523;142,569;"3,00";"0,00";"3,00";21/01/2002 00:00:00
9;17;28/01/2002 00:00:00;3;423;45,423;136,269;"3,00";"0,00";"3,00";21/01/2002 00:00:00
9;18;28/01/2002 00:00:00;3;424;49,697;149,09;"3,00";"0,00";"3,00";21/01/2002 00:00:00
9;19;28/01/2002 00:00:00;3;425;45,423;136,269;"3,00";"0,00";"3,00";21/01/2002 00:00:00
9;20;28/01/2002 00:00:00;3;426;43,323;129,969;"3,00";"0,00";"3,00";21/01/2002 00:00:00
10;21;28/01/2002 00:00:00;3;320;47,471;142,412;"3,00";"0,00";"3,00";21/01/2002 00:00:00
10;22;28/01/2002 00:00:00;3;321;42,798;128,394;"3,00";"0,00";"3,00";21/01/2002 00:00:00
10;23;28/01/2002 00:00:00;60;322;25,421;1525,23;"60,00";"0,00";"60,00";21/01/2002 00:00:00
11;24;28/01/2002 00:00:00;3;438;41,223;123,669;"3,00";"0,00";"3,00";21/01/2002 00:00:00
11;25;28/01/2002 00:00:00;3;439;45,497;136,49;"3,00";"0,00";"3,00";21/01/2002 00:00:00
11;26;28/01/2002 00:00:00;3;440;41,223;123,669;"3,00";"0,00";"3,00";21/01/2002 00:00:00
11;27;28/01/2002 00:00:00;3;441;39,123;117,369;"3,00";"0,00";"3,00";21/01/2002 00:00:00
12;28;28/01/2002 00:00:00;550;941;62,99;34644,225;"550,00";"82,00";"468,00";21/01/2002 00:00:00
13;29;28/01/2002 00:00:00;3;320;45,371;136,112;"3,00";"0,00";"3,00";21/01/2002 00:00:00
13;30;28/01/2002 00:00:00;3;321;40,488;121,464;"3,00";"0,00";"3,00";21/01/2002 00:00:00
13;31;28/01/2002 00:00:00;60;322;26,366;1581,93;"60,00";"0,00";"60,00";21/01/2002 00:00:00
14;32;28/01/2002 00:00:00;3;504;48,762;146,286;"3,00";"3,00";"0,00";21/01/2002 00:00:00
15;33;28/01/2002 00:00:00;3;497;34,188;102,564;"3,00";"0,00";"3,00";21/01/2002 00:00:00
16;34;28/01/2002 00:00:00;3;323;50,264;150,791;"3,00";"0,00";"3,00";21/01/2002 00:00:00
17;35;29/01/2002 00:00:00;550;523;10,731;5902,05;"550,00";"0,00";"550,00";22/01/2002 00:00:00
17;36;29/01/2002 00:00:00;550;524;14,123;7767,375;"550,00";"0,00";"550,00";22/01/2002 00:00:00
18;37;29/01/2002 00:00:00;60;492;50,264;3015,81;"60,00";"0,00";"60,00";22/01/2002 00:00:00
18;38;29/01/2002 00:00:00;60;493;57,152;3429,09;"60,00";"0,00";"60,00";22/01/2002 00:00:00
18;39;29/01/2002 00:00:00;60;494;53,204;3192,21;"60,00";"0,00";"60,00";22/01/2002 00:00:00
18;40;29/01/2002 00:00:00;60;495;63,693;3821,58;"60,00";"0,00";"60,00";22/01/2002 00:00:00
18;41;29/01/2002 00:00:00;60;496;48,909;2934,54;"60,00";"0,00";"60,00";22/01/2002 00:00:00
19;42;29/01/2002 00:00:00;550;908;21,095;11601,975;"550,00";"0,00";"550,00";22/01/2002 00:00:00
19;43;29/01/2002 00:00:00;550;909;30,44;16741,725;"550,00";"0,00";"550,00";22/01/2002 00:00:00
19;44;29/01/2002 00:00:00;550;910;40,94;22516,725;"550,00";"0,00";"550,00";22/01/2002 00:00:00
19;45;29/01/2002 00:00:00;550;911;21,095;11601,975;"550,00";"0,00";"550,00";22/01/2002 00:00:00
19;46;29/01/2002 00:00:00;550;912;30,44;16741,725;"550,00";"0,00";"550,00";22/01/2002 00:00:00
20;47;29/01/2002 00:00:00;60;506;9,198;551,88;"60,00";"0,00";"60,00";22/01/2002 00:00:00
21;48;29/01/2002 00:00:00;550;351;5,775;3176,25;"550,00";"0,00";"550,00";22/01/2002 00:00:00
21;49;29/01/2002 00:00:00;550;352;1,155;635,25;"550,00";"0,00";"550,00";22/01/2002 00:00:00
21;50;29/01/2002 00:00:00;550;679;5,775;3176,25;"550,00";"27,00";"523,00";22/01/2002 00:00:00
22;51;29/01/2002 00:00:00;550;507;23,394;12866,7;"550,00";"82,00";"468,00";22/01/2002 00:00:00
22;52;29/01/2002 00:00:00;550;508;27,647;15205,575;"550,00";"0,00";"550,00";22/01/2002 00:00:00
23;53;29/01/2002 00:00:00;550;355;1,365;750,75;"550,00";"0,00";"550,00";22/01/2002 00:00:00
23;54;29/01/2002 00:00:00;550;940;62,99;34644,225;"550,00";"0,00";"550,00";22/01/2002 00:00:00
23;55;29/01/2002 00:00:00;550;535;3,486;1917,3;"550,00";"0,00";"550,00";22/01/2002 00:00:00
24;56;29/01/2002 00:00:00;550;351;6,195;3407,25;"550,00";"550,00";"0,00";22/01/2002 00:00:00
24;57;29/01/2002 00:00:00;550;352;1,47;808,5;"550,00";"550,00";"0,00";22/01/2002 00:00:00
25;58;29/01/2002 00:00:00;550;507;22,166;12191,025;"550,00";"0,00";"550,00";22/01/2002 00:00:00
25;59;29/01/2002 00:00:00;550;508;29,285;16106,475;"523,00";"0,00";"523,00";22/01/2002 00:00:00
26;60;29/01/2002 00:00:00;3;491;19,982;59,945;"3,00";"0,00";"3,00";22/01/2002 00:00:00
27;61;29/01/2002 00:00:00;3;341;41,171;123,512;"3,00";"0,00";"3,00";22/01/2002 00:00:00
27;62;29/01/2002 00:00:00;3;342;39,071;117,212;"3,00";"0,00";"3,00";22/01/2002 00:00:00
27;63;29/01/2002 00:00:00;3;343;43,344;130,032;"3,00";"0,00";"3,00";22/01/2002 00:00:00
27;64;29/01/2002 00:00:00;3;344;39,071;117,212;"3,00";"0,00";"3,00";22/01/2002 00:00:00
27;65;29/01/2002 00:00:00;3;345;36,971;110,912;"3,00";"0,00";"3,00";22/01/2002 00:00:00
27;66;29/01/2002 00:00:00;3;346;41,244;123,732;"3,00";"0,00";"3,00";22/01/2002 00:00:00
28;67;29/01/2002 00:00:00;550;935;31,49;17319,225;"550,00";"0,00";"550,00";22/01/2002 00:00:00
28;68;29/01/2002 00:00:00;550;936;48,29;26559,225;"550,00";"0,00";"550,00";22/01/2002 00:00:00
29;69;22/02/2002 00:00:00;3;375;43,344;130,032;"3,00";"0,00";"3,00";15/02/2002 00:00:00
29;70;22/02/2002 00:00:00;3;376;39,071;117,212;"3,00";"0,00";"3,00";15/02/2002 00:00:00
29;71;22/02/2002 00:00:00;3;377;36,971;110,912;"3,00";"0,00";"3,00";15/02/2002 00:00:00
29;72;22/02/2002 00:00:00;3;378;41,244;123,732;"3,00";"0,00";"3,00";15/02/2002 00:00:00
29;73;22/02/2002 00:00:00;3;379;36,971;110,912;"3,00";"0,00";"3,00";15/02/2002 00:00:00
30;74;22/02/2002 00:00:00;550;476;15,887;8737,575;"550,00";"0,00";"550,00";15/02/2002 00:00:00
30;75;22/02/2002 00:00:00;550;477;11,666;6416,025;"550,00";"55,00";"495,00";15/02/2002 00:00:00
