"PurchaseOrderID";"RevisionNumber";"Status";"EmployeeID";"VendorID";"ShipMethodID";"OrderDate";"ShipDate";"SubTotal";"TaxAmt";"Freight";"TotalDue";"ModifiedDate"
1;0;4;244;83;3;17/05/2001 00:00:00;26/05/2001 00:00:00;201,04;16,083;5,026;222,149;26/05/2001 00:00:00
2;0;1;231;32;5;17/05/2001 00:00:00;26/05/2001 00:00:00;272,102;21,768;6,803;300,672;26/05/2001 00:00:00
3;0;4;241;38;2;17/05/2001 00:00:00;26/05/2001 00:00:00;8847,3;707,784;221,183;9776,267;26/05/2001 00:00:00
4;0;3;266;85;5;17/05/2001 00:00:00;26/05/2001 00:00:00;171,077;13,686;4,277;189,04;26/05/2001 00:00:00
5;0;4;164;92;4;31/05/2001 00:00:00;09/06/2001 00:00:00;20397,3;1631,784;509,933;22539,017;09/06/2001 00:00:00
6;0;4;223;11;3;31/05/2001 00:00:00;09/06/2001 00:00:00;14628,075;1170,246;365,702;16164,023;09/06/2001 00:00:00
7;0;4;233;84;3;31/05/2001 00:00:00;09/06/2001 00:00:00;58685,55;4694,844;1467,139;64847,533;09/06/2001 00:00:00
8;0;4;238;78;5;31/05/2001 00:00:00;09/06/2001 00:00:00;693,378;55,47;17,335;766,183;09/06/2001 00:00:00
9;1;4;261;74;5;14/01/2002 00:00:00;23/01/2002 00:00:00;694,166;55,533;17,354;767,053;23/01/2002 00:00:00
10;0;4;274;13;5;14/01/2002 00:00:00;23/01/2002 00:00:00;1796,036;143,683;44,901;1984,619;23/01/2002 00:00:00
11;0;4;244;51;4;14/01/2002 00:00:00;23/01/2002 00:00:00;501,197;40,096;12,53;553,822;23/01/2002 00:00:00
12;0;4;231;80;5;14/01/2002 00:00:00;23/01/2002 00:00:00;34644,225;2771,538;866,106;38281,869;23/01/2002 00:00:00
13;0;4;241;47;4;14/01/2002 00:00:00;23/01/2002 00:00:00;1839,506;147,16;45,988;2032,654;23/01/2002 00:00:00
14;0;3;266;81;5;14/01/2002 00:00:00;23/01/2002 00:00:00;146,286;11,703;3,657;161,646;23/01/2002 00:00:00
15;0;4;164;46;5;14/01/2002 00:00:00;23/01/2002 00:00:00;102,564;8,205;2,564;113,333;23/01/2002 00:00:00
16;0;4;223;21;5;14/01/2002 00:00:00;23/01/2002 00:00:00;150,791;12,063;3,77;166,624;23/01/2002 00:00:00
17;0;4;233;27;5;15/01/2002 00:00:00;24/01/2002 00:00:00;13669,425;1093,554;341,736;15104,715;24/01/2002 00:00:00
18;0;4;238;86;5;15/01/2002 00:00:00;24/01/2002 00:00:00;16393,23;1311,458;409,831;18114,519;24/01/2002 00:00:00
19;0;4;261;45;2;15/01/2002 00:00:00;24/01/2002 00:00:00;79204,125;6336,33;1980,103;87520,558;24/01/2002 00:00:00
20;0;4;264;93;1;15/01/2002 00:00:00;24/01/2002 00:00:00;551,88;44,15;13,797;609,827;24/01/2002 00:00:00
21;0;4;274;64;1;15/01/2002 00:00:00;24/01/2002 00:00:00;6987,75;559,02;174,694;7721,464;24/01/2002 00:00:00
22;0;4;231;4;2;15/01/2002 00:00:00;24/01/2002 00:00:00;28072,275;2245,782;701,807;31019,864;24/01/2002 00:00:00
23;0;4;241;17;1;15/01/2002 00:00:00;24/01/2002 00:00:00;37312,275;2984,982;932,807;41230,064;24/01/2002 00:00:00
24;0;3;266;12;1;15/01/2002 00:00:00;24/01/2002 00:00:00;4215,75;337,26;105,394;4658,404;24/01/2002 00:00:00
25;0;4;164;44;2;15/01/2002 00:00:00;24/01/2002 00:00:00;28297,5;2263,8;707,438;31268,738;24/01/2002 00:00:00
26;0;4;223;30;2;15/01/2002 00:00:00;24/01/2002 00:00:00;59,945;4,796;1,499;66,239;24/01/2002 00:00:00
27;0;4;233;8;4;15/01/2002 00:00:00;24/01/2002 00:00:00;722,61;57,809;18,065;798,484;24/01/2002 00:00:00
28;0;4;238;73;5;15/01/2002 00:00:00;24/01/2002 00:00:00;43878,45;3510,276;1096,961;48485,687;24/01/2002 00:00:00
29;0;4;261;76;4;08/02/2002 00:00:00;17/02/2002 00:00:00;592,799;47,424;14,82;655,042;17/02/2002 00:00:00
30;0;4;264;77;2;08/02/2002 00:00:00;17/02/2002 00:00:00;21252,0;1700,16;531,3;23483,46;17/02/2002 00:00:00
31;0;4;244;28;5;08/02/2002 00:00:00;17/02/2002 00:00:00;142,412;11,393;3,56;157,365;17/02/2002 00:00:00
32;2;4;231;2;2;08/02/2002 00:00:00;17/02/2002 00:00:00;28794,15;2303,532;719,854;31817,536;17/02/2002 00:00:00
